COMMENT_ID,AUTHOR,CONTENT
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,i turned it on mute as soon is i came on i just wanted to check the  views...﻿
z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,I'm only checking the views﻿
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,i think about 100 millions of the views come from people who only wanted to  check the views﻿
z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,just checking the views﻿
z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,Check me out! I'm kyle. I rap so yeah ﻿
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,I dont even watch it anymore i just come here to check on 2 Billion or not﻿
z13autsqgzblcx3w104chr4r2kexd10rxc0,DropShotSk8r,"Came here to check the views, goodbye.﻿"
z13kxpqqssa0hlryd04cc1dxeyyngljjngk,Tasha Lucius,2 billion....Coming soon﻿
z121znjjloycwtjf2233dfo5esfggn3lj,crestpee,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿"
z12stpyqaonsercxw04cjbr4dlnrxd34soo0k,Phuc Ly,go here to check the views :3﻿
z13nvr2xayrwffsio04cj3zwyuf3vb1imdg,Milan George,thumbs up if u checked this video to see hw views it got﻿
z13ucxa51rnftvu2j22if5oihq2qipjlp,Kochos,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿
z120grixiomvyvbga04cfl24csz5jf4zzuc0k,eSkiip,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿
z12rgllzmwnfuba4h04ch3njgy2fg3ryerg0k,Eanna Cusack,Im just to check how much views it has﻿
z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k,fastestghost,The first comment is chuck norrus ovbiously :D﻿
z13mcpkzpoz1hj3o304cfd3oouf2tj1rnk40k,StuntmanGaming,Behold the most viewed youtube video in the history of ever﻿
z121cnnzhsybzjkt122nsviacsekvvt1r,Master Chief,when is this gonna hit 2 billion?﻿
z125gx4g5wemgtyvr23ryvlrbxjvwl2mi,David Bell,the most viewed youtube video of all time?﻿
z12lzbu4iymmvjgj004cdjaonunljbjwwo00k,virgie natividad,"969,210 dislikes like dislike themselves﻿"
z13kvvkixzvadn5ii04chnnbsvn3w1pq5dk,asd ad,psy=korean﻿
z13zz3cjwmztcni0p23ug3vb0pasfvzqc04,Dymetex,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿"
z12ifxrbkmaechwtt22jwryqmoaefhipf04,MrTuizentfloot,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿"
LZQPQhLyRh_hbykd_Xw4oDROJbJTFrs-UbSB2xk8gRk,OREOGAM3R,It's been back for quite a while now.
LZQPQhLyRh9U7Lv_DKpJ7lawpBCotxfgHzBy93Tk028,LEONARDO CAETANO,2 Billions in 2014
z12jud4o3n34v5wph04ce3db0y2njn55gog0k,Kaya Roberts,Admit it you just came here to check the number of viewers ﻿
z12xxjkwevvjzvvms22xz3sjqovty3qip04,Prim N.,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿"
z13ydfww3ruysvtmv23muhspwqqjszwjc04,James Ridge,Check my first video out﻿
z13wzt5yezvhsboz104cjlkqalz0fpcglmk0k,Alessio Siri,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿
z13dztbi0nnvdruas04cjrmjwrnvvd4jxjw,Almighty Toffeebomb,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿
z12pzpvbfl2igbwhe04cihtpuwymvr5gvsg0k,NstyIC Gold,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿
z132v5iajkjuhfkyn04cg3mxclnnzj0yxmo0k,richardex8,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿
z13juvrhisuzsfczo04cgnsxhlfdiz2rhho,Imprezzi Vidzz,"My videos are half way decent, check them out if you want.﻿"
z130gviqarmshdnau04cdzigvs3jepx4qw00k,khir abqari,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿"
z12li5throi5u540y220chro4nn5gl52k,xSparkShark,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿
z13qgviizlv1d1c1422lylyahqz2h1zm5,Connor Groom,sub me if you dont like the song﻿
z13sgnbzkwjqhhd5004cfzaheobvzbuopyg0k,Kaiser Dragon,This is a weird video.﻿
z12ftpab5svihfffz23kf3iiymiwjzesi,trespasser4000,This song never gets old love it.﻿
z13jsrtahyyqv53jc04cdr4bcwfwg3lauek,kenny clayton,#2012bitches﻿
z135f3rwwnjafnnrv04cirmifl3lipewgl40k,Akymonix,Made in china....﻿
z13lip25arigch3rj04cf1ko0pnczzyrtng0k,Gaming Land,5 milions comentars and 2 bilion views﻿
z13mzp44ul21sdqcj22sgriokxyuy5det,tom hawksbee,It is 0 zero﻿
z12rsjsiimjkjfkwt04ccbgosvrbgxupxu00k,Norman Reid,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿
z13wfr2rbwytwbhf123cs1l5lz2aefdex,Emily Hamilton,This has had over 2 billion views.  Holy shit.﻿
z13vx3kbgmq5fnlgj04cfdoqtpfyw5xqzuc0k,rolle54100,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿"
z13pdjsgqkjjtnlqz04cgtxafxqtylmixxg0k,xMasterGGx,"2,124923004 wiews... wow﻿"
z124i3ygclj0xn4ly22jzb5a2ubvtbev1,Abdinasir Omar,Great music anyway﻿
z12kuncrps35wp1l0220s3t4ym32dtpin04,Aleksaivan Neidert,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿
z123gnabnwbqtr1e022jejij0zzzez2os04,Luat ha hpuoc,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿"
z12dzlpo0ueie1go404cfjjwsxf1g1lrtdo,Amir effect,Can somebody wake me up when we get to 3 billion views.﻿
z12jxvuzgxusjl1jw04ccxshdwyfx1pjzfk,lakis constantinou,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿
z13dgdl4hyirg3gcd23pw3nw0zrsebpqb04,just a filthy kafir,Justin bieber = gay ﻿
z13gypjrmumhxromj23jyjhhenvdgpuxh04,HarveyIsTheBoss,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿
z12wilyi3mzzjlzkw225hrzrxvb4tjgln,M7AMDksa,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿
z12uw5z5roiqel3ds22iifbhbmnijn1qz04,Noah François,"Ahhh, 2 years ago....﻿"
z13nwn54ukukyhdfb223vttqnu31hvf4k04,nachopinca3901,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿
z12udxjwpwurtlwz304ccbrhdtusth4herk0k,PacKmaN,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿
z12bv5zxvpryjjspn04cdfwz5lrtzjhooqw0k,Peter Johnson,Get free gift cards and pay pal money!﻿
z12zjztrvlnafvk2n230wjmztyfxxpbk2,CronicleFPS,Check me out I'm all about gaming ﻿
z12mzferzsanzhld022fhhdarrusivwkq,marye,Oppa! Yeah! Best Song!﻿
z13mtrjqsqzliho5w04cex3zmoqfvnpgyys0k,FatPocketsTv,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿"
z13zhhualofpyz22z22pydei0oeyt5abc04,unknown,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿
z12sil2ziqneyjxpx04cehcgcsmmcr1a3ew,"thevlogmasters Vlog, Challenges en nog veel meer!",▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿
